id,member_id,loan_amnt,term,int_rate,annual_inc,emp_length,home_ownership,purpose,dti,fico_range_low,fico_range_high,open_acc,delinq_2yrs,revol_bal,inq_last_6mths,issue_d,loan_status
19,452259,7008.86,60,23.94,105183.74,< 1 year,RENT,credit_card,26.71,621,625,3,3,3887.84,3,Jul-2023,Late (31-120 days)
20,456834,34799.76,36,22.73,26818.3,5 years,RENT,debt_consolidation,23.02,672,676,18,2,96698.83,0,May-2022,Current
21,437139,2015.84,36,20.44,69316.32,2 years,MORTGAGE,medical,17.49,616,620,14,3,3181.2,2,Jul-2022,Fully Paid
22,590720,4125.75,60,11.33,20911.89,10+ years,RENT,debt_consolidation,7.96,747,751,14,0,2527.23,1,Feb-2022,Fully Paid
23,137613,15846.61,60,23.14,54055.84,5 years,RENT,major_purchase,13.98,783,787,16,0,26166.39,1,Jul-2021,Fully Paid
24,441255,28102.13,36,6.53,99587.04,10+ years,RENT,debt_consolidation,8.62,812,816,2,2,76405.99,2,Oct-2023,In Grace Period
25,791374,14984.76,36,9.38,61077.62,5 years,RENT,major_purchase,10.07,636,640,17,0,14608.24,0,May-2023,Fully Paid
26,396933,4519.89,36,17.1,52932.95,10+ years,MORTGAGE,debt_consolidation,11.54,685,689,3,1,4947.75,1,Dec-2022,Fully Paid
27,585132,14077.92,36,20.27,38093.45,10+ years,RENT,debt_consolidation,17.08,700,704,15,0,41608.47,0,Mar-2022,In Grace Period
28,368936,11309.27,36,21.91,49710.49,2 years,RENT,other,5.44,699,703,19,0,29797.38,5,Jun-2023,Fully Paid
29,947333,2205.95,36,11.41,43764.21,5 years,MORTGAGE,other,43.01,688,692,11,1,4128.04,5,Aug-2022,Fully Paid
30,301558,22322.47,36,13.03,34417.16,< 1 year,RENT,home_improvement,9.95,632,636,14,3,21541.89,0,May-2022,Current
31,799508,6432.54,60,14.19,43025.83,2 years,RENT,home_improvement,20.33,606,610,17,0,6746.53,3,May-2022,Fully Paid
32,784692,12924.86,36,6.49,53598.24,5 years,RENT,medical,40.18,676,680,12,3,34297.99,1,Sep-2021,Fully Paid
33,465274,26365.21,60,21.55,34708.93,5 years,MORTGAGE,home_improvement,9.26,602,606,10,2,57709.16,3,Apr-2021,In Grace Period
34,985505,29554.4,36,12.08,34104.11,10+ years,OWN,debt_consolidation,24.34,595,599,16,3,40707.05,2,Aug-2022,Default
35,987868,12011.31,60,9.59,26579.37,2 years,MORTGAGE,credit_card,38.79,705,709,16,2,6785.43,0,Aug-2023,Current
36,126094,14509.36,36,13.37,58444.11,10+ years,MORTGAGE,major_purchase,27.28,786,790,3,0,12188.64,4,Mar-2021,Fully Paid
37,611771,11382.55,36,18.79,62654.79,2 years,OWN,other,13.41,709,713,3,1,26442.5,4,Jul-2023,Current
38,276456,38361.77,36,21.68,54406.95,< 1 year,MORTGAGE,major_purchase,34.42,585,589,14,3,81398.72,0,Jun-2023,Current
39,998591,9239.75,36,9.88,75684.35,< 1 year,MORTGAGE,major_purchase,32.25,781,785,14,2,12907.52,1,Oct-2021,Current
40,967823,8960.86,36,9.11,50997.94,5 years,MORTGAGE,medical,19.49,744,748,16,1,17741.58,0,Nov-2022,In Grace Period
41,480777,18911.34,60,22.99,58477.94,5 years,MORTGAGE,debt_consolidation,6.85,652,656,3,2,45156.41,2,Jun-2021,Current
42,407597,9193.64,36,15.92,56203.08,2 years,RENT,major_purchase,5.31,645,649,4,1,19394.6,2,Apr-2023,In Grace Period
43,836890,7954.92,60,12.58,47042.51,< 1 year,OWN,credit_card,38.02,795,799,2,0,8740.68,3,Feb-2023,In Grace Period
44,450076,5643.42,36,9.59,38604.73,5 years,MORTGAGE,home_improvement,17.86,694,698,7,3,16246.06,3,Jan-2022,Late (31-120 days)
45,757709,26326.51,36,23.91,132769.35,10+ years,RENT,home_improvement,10.51,613,617,11,0,14718.39,0,Mar-2021,Charged Off
46,696670,25259.13,36,18.95,39999.49,< 1 year,RENT,medical,25.74,647,651,8,3,47757.15,2,Nov-2023,In Grace Period
47,355711,26706.19,36,9.92,36328.4,10+ years,RENT,credit_card,41.83,643,647,4,0,28262.48,4,May-2022,Fully Paid
48,417416,31385.4,36,7.64,59593.66,5 years,RENT,other,5.34,676,680,11,2,71207.24,5,Sep-2023,In Grace Period
49,939463,14401.6,36,9.59,54903.62,5 years,MORTGAGE,major_purchase,7.25,662,666,7,1,27428.05,5,Jan-2023,Current
50,543429,36900.1,36,10.46,26051.84,< 1 year,RENT,home_improvement,21.68,711,715,7,3,36503.72,1,May-2023,Fully Paid
51,475780,29861.78,36,8.0,81243.43,10+ years,MORTGAGE,credit_card,32.04,657,661,15,2,52697.67,3,Apr-2023,Current
52,910646,32578.93,36,10.13,46986.35,5 years,RENT,debt_consolidation,24.04,733,737,7,2,58620.84,0,Aug-2021,Fully Paid
53,615017,29396.56,36,8.1,29735.03,5 years,MORTGAGE,home_improvement,40.9,698,702,11,1,45586.84,2,Feb-2022,Current
54,608304,15621.31,36,12.8,83696.53,10+ years,RENT,debt_consolidation,6.76,805,809,3,3,9457.62,1,May-2022,In Grace Period
55,449917,12755.23,36,14.75,64961.76,10+ years,RENT,medical,18.61,778,782,15,0,12971.35,1,Jun-2022,Current
56,700191,18055.65,60,14.2,27749.03,10+ years,OWN,medical,19.05,659,663,11,2,52759.35,5,Feb-2021,In Grace Period
57,139724,5687.15,36,20.93,109068.6,10+ years,RENT,major_purchase,18.61,590,594,16,1,5523.51,4,Aug-2022,Current
58,295375,19148.66,60,10.57,65937.25,2 years,RENT,other,24.51,720,724,7,1,31536.07,5,Jun-2021,In Grace Period
59,838076,3639.36,36,21.97,48796.4,10+ years,MORTGAGE,debt_consolidation,36.62,661,665,10,0,4494.97,2,Mar-2023,Current
60,335306,2149.95,60,22.35,100267.66,5 years,MORTGAGE,other,17.72,796,800,9,2,5142.93,2,Jan-2023,In Grace Period
61,985806,37396.96,36,23.28,52663.82,10+ years,MORTGAGE,home_improvement,34.78,677,681,19,2,72745.35,4,Oct-2023,In Grace Period
62,902400,28194.8,36,9.26,48405.2,5 years,OWN,medical,10.86,649,653,3,2,64524.39,0,Mar-2023,In Grace Period
63,443480,23350.18,36,10.42,36419.69,< 1 year,MORTGAGE,other,27.43,661,665,5,2,48858.9,4,Feb-2022,Fully Paid
64,925823,14961.88,60,17.23,63693.18,5 years,OWN,debt_consolidation,20.0,787,791,19,0,26321.65,4,Nov-2023,Fully Paid
65,743583,23680.44,36,8.54,60746.9,10+ years,MORTGAGE,other,26.57,607,611,3,2,68710.16,2,Mar-2022,Default
66,826280,35879.88,60,7.54,49345.71,5 years,MORTGAGE,other,9.31,809,813,7,1,81015.27,5,Dec-2021,In Grace Period
67,523044,26790.45,36,7.33,34355.11,10+ years,OWN,medical,43.14,636,640,7,2,59530.09,1,Sep-2023,Current
68,209858,24894.32,36,16.91,51972.42,< 1 year,MORTGAGE,debt_consolidation,41.25,783,787,16,2,55419.74,2,Feb-2022,Default
69,591974,19487.77,60,20.48,47505.01,2 years,RENT,other,38.06,710,714,15,1,32485.76,2,Mar-2021,Charged Off
70,836678,15136.49,36,10.66,26901.48,5 years,RENT,credit_card,40.71,716,720,17,0,31888.28,2,May-2022,Charged Off
71,181429,28544.79,36,22.8,25277.87,5 years,MORTGAGE,debt_consolidation,10.87,629,633,3,0,57410.97,2,May-2023,Fully Paid
72,117304,39277.28,60,20.25,63216.4,5 years,MORTGAGE,major_purchase,25.15,753,757,5,1,106862.75,2,Jul-2021,Current
73,838804,18140.79,36,7.39,15201.51,10+ years,MORTGAGE,debt_consolidation,17.72,735,739,10,2,53463.21,5,May-2022,Current
74,636898,16903.8,36,13.33,53768.05,5 years,RENT,major_purchase,40.5,695,699,15,0,28864.88,2,May-2021,Current
75,569710,18268.31,36,7.22,39531.88,5 years,MORTGAGE,debt_consolidation,12.58,689,693,12,2,36574.28,3,Jan-2023,In Grace Period
76,707735,18170.67,60,22.47,88319.04,5 years,OTHER,medical,13.8,723,727,11,0,22271.08,4,Jun-2022,In Grace Period
77,715871,39643.74,36,19.37,39259.13,10+ years,RENT,debt_consolidation,32.47,693,697,16,3,103612.22,3,Dec-2021,Current
78,483761,28857.57,36,18.36,65957.63,5 years,OWN,medical,8.56,813,817,5,2,65699.92,1,Sep-2021,In Grace Period
79,649590,15649.01,36,18.29,41002.52,10+ years,RENT,medical,34.29,589,593,17,2,43973.15,1,Sep-2022,Current
80,531291,16117.09,60,11.13,51595.34,5 years,MORTGAGE,debt_consolidation,15.73,640,644,13,0,32435.91,2,Jan-2023,In Grace Period
81,286222,18370.28,36,22.8,68293.95,10+ years,RENT,debt_consolidation,31.44,784,788,6,2,41730.43,2,Oct-2023,Fully Paid
82,767663,3395.06,36,22.61,39809.06,2 years,MORTGAGE,other,39.92,770,774,9,2,2505.1,4,Apr-2022,Default
83,438363,22057.02,60,19.31,76760.83,10+ years,RENT,home_improvement,29.38,663,667,6,3,44485.09,2,Jun-2021,Current
84,905388,32832.48,60,14.44,31345.81,10+ years,RENT,major_purchase,13.51,701,705,7,2,47343.26,5,Jul-2023,In Grace Period
85,457439,27101.58,36,6.85,55969.76,10+ years,RENT,credit_card,6.97,586,590,14,3,47976.03,5,Nov-2022,In Grace Period
86,270403,9539.99,36,6.51,74249.62,2 years,RENT,home_improvement,6.78,622,626,7,1,12558.74,4,Feb-2023,Fully Paid
87,845530,29665.3,36,8.49,65974.06,10+ years,MORTGAGE,medical,8.55,806,810,17,3,36135.9,4,Apr-2021,Current
88,224636,29339.43,36,16.72,116122.41,2 years,RENT,other,28.19,734,738,3,2,74868.28,0,Dec-2021,Fully Paid
89,988308,11976.49,36,20.37,34767.99,5 years,RENT,medical,18.93,589,593,5,0,22684.12,0,Apr-2023,In Grace Period
90,666992,25669.24,36,23.07,26354.2,5 years,MORTGAGE,credit_card,14.72,770,774,18,3,29083.99,4,Jul-2023,Charged Off
91,533509,25216.06,36,9.16,31336.82,5 years,RENT,medical,13.77,676,680,15,0,60941.81,5,Apr-2022,Fully Paid
92,307683,33911.93,36,10.96,65986.08,5 years,MORTGAGE,home_improvement,42.94,716,720,9,0,23297.69,4,Jun-2023,In Grace Period
93,281574,7170.75,36,6.97,61332.51,5 years,RENT,home_improvement,9.75,785,789,6,2,8840.65,1,Jul-2023,Current
94,274802,9403.86,36,23.8,51329.22,5 years,MORTGAGE,credit_card,17.19,780,784,6,1,12608.35,4,Mar-2022,Fully Paid
95,849707,20466.84,36,20.06,29574.55,5 years,OWN,other,23.86,612,616,5,1,19320.02,3,Sep-2023,In Grace Period
96,283141,3677.52,36,14.65,69223.13,5 years,RENT,credit_card,5.02,667,671,18,1,9586.27,0,Nov-2021,In Grace Period
97,132091,17792.58,36,16.36,28250.96,10+ years,MORTGAGE,other,41.84,645,649,8,1,38872.27,5,Sep-2021,In Grace Period
98,277154,31952.32,60,16.12,82580.37,5 years,RENT,other,8.96,799,803,18,3,69520.6,2,Jan-2023,In Grace Period
99,649174,7651.15,36,10.58,177344.12,< 1 year,RENT,major_purchase,32.3,767,771,16,2,15162.8,3,Nov-2022,Current
100,529405,19478.05,60,9.34,57809.19,5 years,OWN,debt_consolidation,30.15,735,739,8,3,28160.02,2,Jun-2021,In Grace Period
101,435713,39611.23,60,11.35,63729.23,10+ years,OWN,major_purchase,37.36,594,598,15,2,85066.32,5,Jul-2023,Default
102,967949,21224.96,36,10.45,39269.88,2 years,MORTGAGE,debt_consolidation,31.06,772,776,10,2,49681.49,2,Aug-2021,In Grace Period
103,409109,20936.31,60,16.04,21707.3,2 years,RENT,home_improvement,35.78,714,718,10,2,38652.67,5,Jun-2023,Default
104,845262,23234.16,36,11.55,37375.71,10+ years,MORTGAGE,debt_consolidation,21.85,645,649,15,3,38959.22,5,Jan-2021,Current
105,211757,9068.17,36,19.12,29977.34,10+ years,RENT,medical,24.55,686,690,14,0,9601.47,0,May-2023,Late (31-120 days)
106,589001,7592.23,36,16.22,25561.64,5 years,MORTGAGE,home_improvement,33.07,687,691,5,3,5390.44,2,May-2023,In Grace Period
107,217879,27739.48,36,15.58,106410.76,10+ years,RENT,other,27.74,651,655,9,1,16733.98,4,May-2023,Charged Off
108,173048,17039.14,36,23.12,55425.12,10+ years,OWN,medical,25.46,798,802,18,1,38944.86,5,Dec-2022,Late (31-120 days)
109,711929,13016.45,60,11.8,58154.55,5 years,MORTGAGE,credit_card,13.22,800,804,5,2,17853.6,4,Jun-2022,In Grace Period
110,705637,3192.88,36,17.43,42656.71,2 years,MORTGAGE,medical,15.32,592,596,14,3,7251.1,3,Feb-2023,Current
111,617024,34149.92,60,6.0,45351.93,5 years,MORTGAGE,credit_card,19.34,804,808,17,1,60437.35,2,Oct-2021,Fully Paid
112,506027,3228.5,60,19.26,75663.25,10+ years,OWN,credit_card,5.37,676,680,12,1,5221.18,0,May-2023,Fully Paid
113,343615,30499.36,60,15.05,48312.63,5 years,MORTGAGE,credit_card,21.69,771,775,2,0,63204.36,5,Sep-2022,In Grace Period
114,800523,16515.57,36,9.75,62243.68,< 1 year,OTHER,medical,5.11,767,771,17,3,15824.38,0,May-2022,In Grace Period
115,270454,24750.14,36,6.03,44882.27,10+ years,OTHER,other,27.6,723,727,18,2,72992.18,4,Jul-2022,In Grace Period
116,544561,11411.76,36,18.72,42025.47,10+ years,RENT,other,33.16,758,762,13,1,15127.05,0,Sep-2022,Fully Paid
117,948420,7905.19,36,17.93,26026.97,5 years,RENT,major_purchase,27.49,743,747,16,3,19153.98,2,Feb-2021,Fully Paid
118,701445,22268.74,36,17.98,20130.93,10+ years,MORTGAGE,debt_consolidation,32.74,784,788,2,0,24933.62,5,Jun-2021,Current
119,860496,28433.47,36,13.87,43577.54,10+ years,RENT,other,5.0,681,685,15,0,47478.99,1,Sep-2021,Fully Paid
120,280044,9428.75,60,17.51,50283.06,10+ years,MORTGAGE,home_improvement,7.38,757,761,16,1,16484.03,1,May-2021,Fully Paid
121,123078,18581.64,36,16.28,27480.76,10+ years,RENT,major_purchase,32.94,815,819,12,1,23536.36,1,Apr-2022,Current
122,849893,18896.89,36,10.3,48266.18,< 1 year,MORTGAGE,home_improvement,37.12,807,811,11,1,25918.15,4,Jan-2023,Default
123,606590,10207.21,36,15.34,50221.01,10+ years,RENT,credit_card,33.71,615,619,16,0,16211.29,1,Dec-2022,Late (31-120 days)
124,801480,23471.88,36,15.26,18579.17,5 years,MORTGAGE,credit_card,31.52,699,703,13,3,60803.49,4,May-2022,Late (31-120 days)
125,858295,7545.56,60,20.83,32473.96,10+ years,MORTGAGE,major_purchase,33.3,702,706,2,1,13205.68,3,Jul-2023,Current
126,436612,21370.47,60,13.8,58880.71,10+ years,RENT,home_improvement,34.58,729,733,5,3,15417.47,5,Sep-2022,In Grace Period
127,199559,6310.4,36,13.85,58347.77,10+ years,OWN,debt_consolidation,33.98,735,739,12,2,6573.49,3,Mar-2021,Fully Paid
128,967278,20450.61,36,23.72,29168.55,10+ years,OWN,home_improvement,34.52,783,787,12,3,60637.26,2,Apr-2023,In Grace Period
129,374368,13840.76,60,22.1,52643.69,10+ years,MORTGAGE,home_improvement,7.96,707,711,6,1,10030.13,0,Sep-2022,In Grace Period
130,244355,19185.36,36,10.36,77659.04,2 years,OWN,major_purchase,7.53,748,752,4,2,40659.95,2,Nov-2022,Current
131,613808,18482.48,36,22.39,69541.77,5 years,MORTGAGE,home_improvement,19.44,795,799,13,1,18998.01,3,Sep-2022,Default
132,118011,36501.46,36,8.48,46963.28,2 years,RENT,credit_card,26.1,604,608,7,1,57665.96,5,Aug-2022,Default
133,153819,20617.55,36,21.36,39712.08,10+ years,MORTGAGE,major_purchase,35.5,734,738,14,3,28710.96,1,Apr-2021,In Grace Period
134,786822,33102.96,60,9.3,36930.57,5 years,RENT,other,18.39,668,672,13,3,97420.14,2,Sep-2022,In Grace Period
135,179476,10574.79,36,13.66,60507.28,5 years,OTHER,home_improvement,16.0,797,801,5,1,19861.37,5,May-2023,In Grace Period
136,640509,15379.15,36,23.71,53519.26,2 years,MORTGAGE,major_purchase,36.26,712,716,15,0,17298.22,5,Nov-2021,Fully Paid
137,508085,4853.4,60,7.75,65070.84,5 years,MORTGAGE,home_improvement,14.97,724,728,4,2,9750.18,5,Oct-2022,Current
138,199829,17988.42,36,21.12,52017.9,5 years,MORTGAGE,credit_card,37.83,761,765,9,3,12205.01,1,Feb-2021,Current
139,948680,27410.6,36,14.91,70858.75,10+ years,RENT,other,12.09,638,642,12,3,77205.2,0,Jan-2022,In Grace Period
140,243555,33850.35,36,8.0,51152.5,10+ years,RENT,other,19.38,710,714,17,1,46057.0,2,Apr-2022,Fully Paid
141,685573,23504.77,60,23.14,69780.5,5 years,RENT,credit_card,21.04,765,769,18,2,63660.93,1,Dec-2023,In Grace Period
142,217790,26322.76,60,15.89,72538.32,10+ years,RENT,major_purchase,16.98,766,770,14,3,66412.68,1,Aug-2021,Default
143,631276,8736.15,36,21.85,34131.06,2 years,RENT,other,5.13,634,638,13,0,8447.61,5,Oct-2021,Current
144,250167,3413.83,60,21.64,21727.53,2 years,MORTGAGE,major_purchase,14.42,781,785,11,1,9919.73,3,Mar-2022,Charged Off
145,899564,32084.15,60,6.26,98181.37,5 years,OWN,major_purchase,18.51,619,623,10,0,95584.87,1,Dec-2023,In Grace Period
146,515266,8347.45,36,10.77,55022.44,10+ years,MORTGAGE,other,17.54,643,647,12,2,20979.04,4,Jul-2023,In Grace Period
147,108082,5464.44,36,12.06,22662.83,< 1 year,OWN,major_purchase,36.42,785,789,18,3,8900.13,4,Feb-2021,Current
148,145866,37627.37,60,15.63,35553.05,2 years,RENT,other,6.89,727,731,13,1,82078.88,2,Sep-2021,In Grace Period
149,588677,38613.81,36,7.29,69379.27,5 years,OWN,debt_consolidation,20.56,710,714,16,3,27092.6,0,Jun-2023,Default
150,567447,25417.78,36,13.0,43223.75,< 1 year,RENT,major_purchase,6.5,713,717,11,2,71240.88,2,Mar-2021,Fully Paid
151,397609,16388.22,36,20.66,38932.02,5 years,MORTGAGE,debt_consolidation,42.23,812,816,15,1,17279.65,2,Jul-2023,In Grace Period
152,644835,33663.1,36,9.12,92078.51,5 years,MORTGAGE,credit_card,36.61,634,638,17,3,77148.11,1,Nov-2021,Current
153,817370,9779.36,36,18.62,30598.94,10+ years,RENT,medical,44.29,651,655,9,2,24485.84,3,Oct-2023,Default
154,754630,18316.91,36,14.29,34229.08,5 years,MORTGAGE,other,41.41,697,701,13,2,53557.52,4,Nov-2021,Current
155,774437,15566.66,36,7.27,53912.84,2 years,OWN,other,17.63,782,786,10,0,39843.19,2,Apr-2022,In Grace Period
156,951428,36682.6,60,9.19,58437.01,< 1 year,RENT,medical,32.66,711,715,11,2,93361.16,2,Dec-2022,Charged Off
157,285810,36951.54,36,8.54,61288.92,2 years,RENT,major_purchase,17.26,754,758,6,0,83638.31,4,May-2021,In Grace Period
158,174229,26733.67,36,17.15,73869.63,10+ years,RENT,home_improvement,40.53,776,780,17,1,51906.53,1,Sep-2022,Fully Paid
159,208949,6208.13,36,7.57,53603.0,5 years,MORTGAGE,credit_card,21.43,794,798,16,3,3754.11,5,Jul-2022,Fully Paid
160,131642,20323.33,36,20.81,61097.29,2 years,MORTGAGE,medical,20.04,690,694,18,3,59583.06,2,May-2023,In Grace Period
161,363904,11322.48,60,20.52,43623.7,10+ years,MORTGAGE,medical,41.56,689,693,7,1,18369.9,3,Dec-2023,Fully Paid
162,225224,35626.8,36,7.44,50423.58,10+ years,RENT,debt_consolidation,38.47,599,603,19,1,88780.93,3,Dec-2022,Current
163,929123,7259.31,36,21.99,51451.27,2 years,RENT,other,43.66,599,603,14,0,10476.73,2,Mar-2022,Late (31-120 days)
164,403582,4063.79,36,23.26,54002.96,2 years,OWN,credit_card,7.66,696,700,8,0,6665.23,0,Mar-2022,In Grace Period
165,296416,28768.3,60,6.78,69400.05,10+ years,RENT,medical,14.73,759,763,17,2,47636.74,4,Apr-2022,Fully Paid
166,572825,19224.87,60,23.11,62932.35,5 years,MORTGAGE,debt_consolidation,17.03,781,785,12,3,57194.39,5,Jun-2023,Current
167,487459,33857.87,36,11.03,50005.97,10+ years,RENT,credit_card,21.97,678,682,11,3,34818.43,4,Dec-2021,In Grace Period
168,103857,4835.93,60,17.97,34060.49,< 1 year,RENT,major_purchase,23.93,717,721,15,1,8484.22,4,Jul-2021,In Grace Period
169,963726,32440.89,60,9.15,50536.55,10+ years,MORTGAGE,home_improvement,16.66,775,779,4,3,28766.18,0,Jan-2022,Fully Paid
170,723132,3418.72,60,20.71,48406.63,< 1 year,RENT,debt_consolidation,36.62,656,660,10,1,5932.52,4,Jan-2021,Current
171,842536,3066.66,60,21.15,53472.98,5 years,MORTGAGE,other,13.93,618,622,2,2,5719.05,2,Apr-2021,Current
172,961193,19530.0,60,23.61,132314.43,10+ years,MORTGAGE,other,32.86,801,805,9,1,16436.96,1,Apr-2021,Current
173,897005,10409.07,36,23.87,38727.38,10+ years,MORTGAGE,credit_card,39.07,711,715,14,3,23375.0,2,Apr-2023,Current
174,324800,24561.31,36,7.37,59280.17,< 1 year,OTHER,major_purchase,29.15,617,621,19,1,63121.8,1,Mar-2023,Fully Paid
175,786976,2981.05,60,17.84,79285.29,2 years,MORTGAGE,credit_card,19.17,640,644,6,3,7572.06,1,Feb-2023,In Grace Period
176,107917,3344.8,60,10.91,51231.04,10+ years,MORTGAGE,medical,12.52,658,662,17,0,7770.16,4,May-2022,Fully Paid
177,425265,29631.64,36,8.26,140369.05,2 years,MORTGAGE,medical,10.37,628,632,2,3,25252.38,4,Feb-2023,Fully Paid
178,777920,9986.28,36,8.68,41352.26,5 years,MORTGAGE,medical,34.77,684,688,2,1,20508.5,3,Jun-2021,In Grace Period
179,729794,26943.85,36,22.86,56717.62,2 years,RENT,major_purchase,23.77,775,779,8,2,60513.02,5,Sep-2023,Default
180,793044,30497.04,36,18.31,34219.04,2 years,OWN,debt_consolidation,6.85,757,761,7,2,73143.66,0,Jul-2022,In Grace Period
181,781403,4254.58,36,6.91,41848.61,10+ years,RENT,credit_card,44.35,800,804,12,2,9672.81,5,Oct-2023,Fully Paid
182,139158,31250.65,36,23.72,54831.51,< 1 year,MORTGAGE,other,31.85,780,784,5,1,64751.53,2,Jun-2021,In Grace Period
183,624922,12200.01,60,20.54,71742.37,5 years,RENT,major_purchase,38.77,654,658,11,3,28296.17,3,Jun-2022,Fully Paid
184,655589,16802.75,36,11.57,56590.29,5 years,OTHER,home_improvement,22.53,594,598,19,0,44204.81,5,Feb-2023,Current
185,239835,5292.29,36,14.48,86387.79,< 1 year,MORTGAGE,other,43.22,616,620,5,1,10178.65,4,Jun-2022,Charged Off
186,318555,33867.94,36,19.08,46970.06,5 years,RENT,home_improvement,12.98,770,774,9,1,29236.22,5,May-2022,Fully Paid
187,538675,23307.69,60,18.17,42214.72,5 years,OWN,other,12.41,661,665,12,1,59199.03,1,Jul-2021,Charged Off
188,669586,21177.28,36,14.34,165511.06,10+ years,MORTGAGE,medical,40.61,752,756,9,0,45584.98,1,Feb-2022,In Grace Period
189,865078,38805.08,36,15.22,58536.57,10+ years,MORTGAGE,debt_consolidation,40.67,689,693,9,3,86012.55,0,Sep-2021,Fully Paid
190,753739,14711.22,36,6.78,35462.58,10+ years,MORTGAGE,other,24.96,794,798,2,2,18175.97,4,Nov-2021,Current
191,978032,35849.61,60,15.01,35867.3,5 years,RENT,other,10.03,701,705,10,3,31337.93,3,Jan-2023,Fully Paid
192,300468,29348.14,36,12.12,32073.78,10+ years,MORTGAGE,other,17.21,796,800,18,1,71955.89,3,Nov-2022,In Grace Period
193,453226,37284.07,36,11.13,74716.5,5 years,MORTGAGE,major_purchase,35.17,640,644,17,1,23248.48,2,Oct-2022,Late (31-120 days)
194,334683,36496.48,60,10.85,41607.27,5 years,MORTGAGE,medical,38.84,766,770,16,2,54958.9,2,Feb-2022,Current
195,901706,39659.13,36,17.68,51912.41,< 1 year,MORTGAGE,credit_card,18.91,705,709,3,2,70282.09,5,Nov-2023,Charged Off
196,650416,7003.72,36,13.73,47639.67,< 1 year,RENT,debt_consolidation,7.45,625,629,4,0,3807.05,1,Apr-2021,Fully Paid
197,557098,32248.62,60,13.66,68129.91,2 years,OTHER,debt_consolidation,31.63,636,640,11,3,64255.89,4,Jan-2022,Default
198,624035,32570.79,60,8.87,33488.76,2 years,RENT,credit_card,34.58,655,659,7,3,26026.21,0,May-2021,Late (31-120 days)
199,394123,26486.19,36,23.31,30211.94,10+ years,RENT,other,21.96,617,621,5,2,29230.71,2,Jan-2022,Fully Paid
200,897549,12596.72,60,10.03,54226.98,10+ years,MORTGAGE,credit_card,28.32,804,808,5,1,37587.61,0,Nov-2023,In Grace Period
201,653348,38675.63,36,13.31,64243.23,2 years,OWN,debt_consolidation,44.49,631,635,5,1,73510.05,0,Feb-2022,Charged Off
202,559331,9768.04,60,9.42,56933.52,10+ years,MORTGAGE,medical,14.8,723,727,3,0,28529.33,0,Sep-2023,Current
203,734201,20983.86,36,18.66,34055.47,10+ years,MORTGAGE,credit_card,27.92,717,721,12,0,36335.37,1,Jun-2022,Default
